Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Car_0,2009,2.49,19.76,27290,Petrol,Individual,Manual,3
Car_1,2006,1.58,21.06,119374,Petrol,Individual,Manual,0
Car_2,2015,6.22,16.87,25789,Petrol,Dealer,Manual,1
Car_3,2017,7.17,14.54,186701,Petrol,Dealer,Manual,0
Car_4,2013,6.28,17.48,15985,Diesel,Dealer,Manual,0
Car_5,2010,3.84,18.6,44982,Diesel,Individual,Automatic,1
Car_6,2015,1.68,4.26,86688,Diesel,Individual,Manual,3
Car_7,2007,1.72,12.35,5248,Diesel,Individual,Manual,1
Car_8,2009,1.21,8.78,141007,Petrol,Individual,Manual,1
Car_9,2012,6.72,24.49,4209,Petrol,Individual,Manual,2
Car_10,2005,1.0,15.17,124461,Petrol,Dealer,Manual,0
Car_11,2009,5.58,29.54,30855,Diesel,Individual,Manual,0
Car_12,2013,3.13,13.17,187343,Diesel,Individual,Manual,1
Car_13,2013,6.29,24.86,189371,Petrol,Individual,Manual,0
Car_14,2010,3.81,24.35,144688,Petrol,Individual,Manual,1
Car_15,2007,0.56,6.22,157042,Petrol,Dealer,Manual,2
Car_16,2006,1.29,16.23,173916,Petrol,Dealer,Manual,0
Car_17,2010,3.93,21.48,43418,Diesel,Individual,Manual,0
Car_18,2010,5.0,26.03,52724,Diesel,Dealer,Manual,1
Car_19,2005,1.05,11.13,39798,Petrol,Individual,Manual,0
Car_20,2008,0.99,8.17,80719,CNG,Dealer,Manual,1
Car_21,2007,2.28,21.91,62129,Diesel,Individual,Manual,0
Car_22,2004,1.41,24.67,66540,Petrol,Dealer,Manual,1
Car_23,2010,1.97,11.76,28516,Petrol,Individual,Manual,0
Car_24,2014,1.73,4.69,24460,Petrol,Individual,Manual,1
Car_25,2016,15.37,28.33,34091,Petrol,Dealer,Manual,0
Car_26,2008,1.44,13.13,103833,Petrol,Individual,Manual,0
Car_27,2004,1.01,16.5,115321,Petrol,Individual,Manual,0
Car_28,2018,15.53,25.46,199213,Petrol,Individual,Automatic,1
Car_29,2014,7.18,20.92,36895,Petrol,Individual,Manual,2
Car_30,2007,2.45,22.59,130195,Diesel,Individual,Manual,0
Car_31,2003,0.5,7.85,154272,Petrol,Dealer,Manual,0
Car_32,2014,6.15,17.16,35120,Petrol,Dealer,Manual,0
Car_33,2012,4.21,21.48,128648,Petrol,Dealer,Manual,1
Car_34,2008,1.16,8.4,21059,CNG,Individual,Automatic,1
Car_35,2015,2.78,6.9,93896,Petrol,Dealer,Manual,0
Car_36,2014,8.79,29.5,193214,Petrol,Individual,Manual,0
Car_37,2011,3.45,16.47,22232,CNG,Individual,Manual,0
Car_38,2003,0.6,9.3,91862,Diesel,Individual,Manual,0
Car_39,2013,7.17,29.9,161926,Diesel,Individual,Manual,0
Car_40,2013,7.65,29.03,14343,Petrol,Dealer,Manual,3
Car_41,2017,7.65,17.63,114565,Petrol,Dealer,Manual,0
Car_42,2012,6.27,26.71,72226,Diesel,Individual,Manual,1
Car_43,2018,6.01,7.28,18140,Diesel,Individual,Manual,0
Car_44,2014,4.3,9.81,53028,Diesel,Individual,Manual,0
Car_45,2014,7.06,21.61,38913,Diesel,Individual,Manual,1
Car_46,2018,15.76,25.71,53138,Petrol,Dealer,Manual,1
Car_47,2017,11.77,25.98,184308,Diesel,Individual,Manual,3
Car_48,2016,5.29,13.33,110633,Petrol,Individual,Manual,0
Car_49,2016,11.97,26.86,106857,Petrol,Individual,Manual,0
Car_50,2017,12.48,25.83,150659,Petrol,Dealer,Manual,1
Car_51,2016,11.28,28.2,173002,Petrol,Individual,Manual,0
Car_52,2005,1.45,23.99,156076,Petrol,Individual,Manual,0
Car_53,2014,5.92,20.73,138686,Petrol,Dealer,Manual,0
Car_54,2009,3.21,18.26,79359,Diesel,Individual,Manual,0
Car_55,2006,0.99,12.42,100157,Petrol,Dealer,Manual,2
Car_56,2018,15.07,28.32,142547,Diesel,Individual,Manual,0
Car_57,2011,7.18,29.26,11523,Petrol,Individual,Manual,0
Car_58,2005,0.83,9.95,21947,Petrol,Dealer,Automatic,0
Car_59,2007,1.11,10.55,126399,Petrol,Individual,Manual,0
Car_60,2005,1.2,15.6,24459,Petrol,Individual,Manual,0
Car_61,2009,2.49,14.56,66703,Petrol,Individual,Manual,0
Car_62,2007,3.27,29.84,119656,Petrol,Individual,Automatic,0
Car_63,2011,1.1,6.93,161275,Petrol,Individual,Manual,1
Car_64,2009,0.5,2.51,9837,CNG,Individual,Manual,0
Car_65,2004,1.03,15.83,46927,Petrol,Individual,Manual,0
Car_66,2006,0.72,7.01,62029,Diesel,Dealer,Manual,2
Car_67,2011,2.62,12.26,102523,Petrol,Individual,Manual,1
Car_68,2014,9.13,22.84,85165,Diesel,Dealer,Automatic,0
Car_69,2016,10.55,22.19,106287,Diesel,Individual,Manual,0
Car_70,2004,0.7,10.63,163493,Diesel,Individual,Manual,0
Car_71,2012,4.71,17.19,33807,Petrol,Dealer,Manual,1
Car_72,2011,2.5,16.25,158927,Petrol,Individual,Manual,3
Car_73,2012,4.01,19.82,127516,Petrol,Individual,Manual,1
Car_74,2007,1.16,9.01,5335,Diesel,Dealer,Manual,0
Car_75,2004,1.47,18.52,20659,Diesel,Individual,Manual,1
Car_76,2006,1.69,29.41,179177,CNG,Individual,Manual,0
Car_77,2014,4.99,15.63,122290,Petrol,Dealer,Manual,0
Car_78,2017,14.87,27.37,106116,Diesel,Individual,Manual,0
Car_79,2014,4.66,14.16,169660,Diesel,Dealer,Automatic,3
Car_80,2009,1.53,11.8,79252,Petrol,Individual,Manual,0
Car_81,2014,7.77,20.06,55784,Petrol,Individual,Automatic,1
Car_82,2015,9.19,20.73,57543,Diesel,Individual,Manual,0
Car_83,2010,4.43,26.2,167119,Diesel,Individual,Manual,0
Car_84,2017,4.24,8.45,97507,Diesel,Individual,Manual,0
Car_85,2005,1.25,15.98,83344,Petrol,Individual,Manual,0
Car_86,2016,9.59,18.02,28032,Diesel,Individual,Manual,1
Car_87,2003,1.14,23.52,165921,Petrol,Individual,Manual,0
Car_88,2006,0.5,3.22,122902,Petrol,Dealer,Manual,1
Car_89,2004,1.82,29.85,118512,Petrol,Individual,Manual,1
Car_90,2010,2.72,15.16,177017,Diesel,Dealer,Automatic,2
Car_91,2006,0.94,9.83,137285,Diesel,Dealer,Automatic,0
Car_92,2004,1.99,26.74,56678,Petrol,Dealer,Manual,0
Car_93,2016,11.07,22.94,49907,Petrol,Individual,Manual,0
Car_94,2008,3.07,28.69,51490,Diesel,Individual,Manual,3
Car_95,2008,1.01,11.26,129973,Petrol,Individual,Manual,2
Car_96,2012,3.51,17.48,197117,Diesel,Dealer,Manual,0
Car_97,2006,1.74,18.02,58641,Petrol,Individual,Manual,1
Car_98,2008,3.41,29.45,155365,Petrol,Individual,Manual,0
Car_99,2015,1.98,4.11,57070,Petrol,Individual,Automatic,1
Car_100,2017,4.86,10.56,169464,Petrol,Individual,Manual,0
Car_101,2004,0.56,7.35,1515,Diesel,Individual,Manual,1
Car_102,2012,2.1,9.52,62313,Petrol,Individual,Manual,0
Car_103,2014,5.07,15.59,28212,Petrol,Individual,Manual,1
Car_104,2004,0.8,12.44,100997,Diesel,Dealer,Manual,1
Car_105,2012,2.69,13.05,139987,Petrol,Dealer,Automatic,1
Car_106,2016,10.18,25.64,113316,Petrol,Individual,Manual,0
Car_107,2006,3.03,28.04,129278,Diesel,Dealer,Automatic,0
Car_108,2016,2.21,3.97,62792,Diesel,Individual,Manual,0
Car_109,2017,5.34,7.85,24333,Petrol,Individual,Manual,0
Car_110,2018,14.87,20.79,135730,Diesel,Individual,Manual,0
Car_111,2017,5.41,12.04,194252,Diesel,Individual,Manual,2
Car_112,2010,1.95,9.12,20809,Petrol,Individual,Automatic,0
Car_113,2016,6.35,10.27,7470,Petrol,Individual,Automatic,0
Car_114,2009,1.96,11.03,72974,Diesel,Individual,Manual,0
Car_115,2014,8.8,25.76,47040,Diesel,Individual,Manual,0
Car_116,2011,0.96,5.83,151956,Petrol,Individual,Manual,1
Car_117,2016,15.46,21.85,18517,Diesel,Individual,Automatic,0
Car_118,2010,2.91,17.48,76380,Diesel,Individual,Manual,2
Car_119,2007,1.07,10.3,106070,Petrol,Individual,Manual,0
Car_120,2018,8.55,13.75,9202,Petrol,Individual,Manual,3
Car_121,2015,2.66,9.17,131956,Petrol,Individual,Manual,2
Car_122,2004,1.5,19.12,904,Diesel,Individual,Manual,0
Car_123,2017,1.67,4.28,172515,Petrol,Individual,Manual,2
Car_124,2007,0.5,2.15,179498,Diesel,Dealer,Automatic,0
Car_125,2010,2.62,19.58,160761,Diesel,Dealer,Manual,1
Car_126,2012,2.4,7.44,13263,Diesel,Individual,Manual,0
Car_127,2011,0.69,3.99,149956,Petrol,Dealer,Automatic,2
Car_128,2014,3.51,13.11,191672,Diesel,Dealer,Manual,2
Car_129,2014,1.13,3.42,98642,Petrol,Dealer,Automatic,1
Car_130,2014,9.43,26.83,141432,Diesel,Dealer,Manual,1
Car_131,2015,1.0,2.77,81142,Petrol,Dealer,Manual,0
Car_132,2011,4.38,18.21,51112,Petrol,Individual,Automatic,0
Car_133,2015,7.47,14.28,24074,Diesel,Individual,Manual,0
Car_134,2017,13.59,20.82,24024,Petrol,Individual,Manual,0
Car_135,2015,4.2,11.19,11416,Petrol,Individual,Manual,1
Car_136,2003,0.5,6.34,5309,Diesel,Dealer,Manual,0
Car_137,2011,4.76,29.49,163773,Diesel,Individual,Manual,3
Car_138,2009,3.2,25.49,184902,Diesel,Individual,Manual,1
Car_139,2011,5.06,26.09,145028,Diesel,Dealer,Automatic,1
Car_140,2010,1.11,9.01,187969,Petrol,Individual,Manual,0
Car_141,2003,0.5,3.09,121788,Petrol,Individual,Manual,2
Car_142,2014,3.35,10.49,39265,Petrol,Individual,Manual,2
Car_143,2010,2.47,17.04,166388,Petrol,Individual,Manual,0
Car_144,2010,2.28,11.15,45606,Diesel,Individual,Manual,1
Car_145,2017,18.43,25.18,54432,Diesel,Dealer,Automatic,1
Car_146,2013,2.15,9.6,148672,Petrol,Individual,Manual,0
Car_147,2005,2.39,29.03,57591,Petrol,Dealer,Manual,0
Car_148,2003,0.88,14.8,22449,Diesel,Individual,Manual,0
Car_149,2010,5.11,25.58,38244,Petrol,Individual,Manual,0
Car_150,2005,0.55,7.44,177115,Diesel,Individual,Manual,0
Car_151,2005,1.12,13.52,108819,Petrol,Individual,Manual,0
Car_152,2003,1.12,21.59,92693,Diesel,Dealer,Manual,0
Car_153,2013,1.54,5.87,36687,Petrol,Dealer,Manual,0
Car_154,2007,0.5,5.72,138811,Diesel,Dealer,Manual,3
Car_155,2012,6.59,29.15,124954,Diesel,Dealer,Manual,0
Car_156,2009,3.11,22.01,14989,Diesel,Individual,Manual,3
Car_157,2012,0.76,3.15,189589,Diesel,Individual,Manual,0
Car_158,2011,2.81,13.17,62377,Diesel,Dealer,Manual,0
Car_159,2014,4.03,14.14,174697,Diesel,Individual,Manual,0
Car_160,2009,3.81,22.83,50422,Petrol,Individual,Manual,0
Car_161,2011,1.94,9.02,94574,Diesel,Individual,Manual,0
Car_162,2010,1.2,7.16,163621,Diesel,Individual,Manual,1
Car_163,2014,1.32,4.26,37631,Petrol,Dealer,Manual,0
Car_164,2004,0.8,13.99,174516,Diesel,Individual,Manual,1
Car_165,2003,1.0,21.28,116265,Diesel,Individual,Manual,1
Car_166,2018,2.56,3.63,74463,Diesel,Individual,Automatic,0
Car_167,2009,4.35,27.63,107384,Petrol,Dealer,Manual,0
Car_168,2009,1.65,14.39,126417,Petrol,Individual,Manual,1
Car_169,2016,3.98,8.71,24785,CNG,Dealer,Manual,0
Car_170,2010,0.92,4.63,38126,Diesel,Dealer,Manual,0
Car_171,2007,0.52,7.12,174380,Petrol,Individual,Manual,3
Car_172,2005,2.52,28.17,185443,Diesel,Individual,Automatic,0
Car_173,2014,6.51,19.87,19698,Diesel,Individual,Manual,1
Car_174,2010,2.24,16.47,151330,Petrol,Dealer,Manual,3
Car_175,2008,3.55,20.4,15754,Diesel,Individual,Manual,0
Car_176,2013,4.97,14.2,44738,Petrol,Dealer,Automatic,0
Car_177,2005,2.21,22.44,1752,Petrol,Dealer,Manual,0
Car_178,2003,0.5,3.34,40264,Petrol,Individual,Manual,0
Car_179,2005,1.48,17.85,78209,Diesel,Individual,Manual,0
Car_180,2007,0.51,6.44,169013,Petrol,Individual,Manual,1
Car_181,2017,3.72,5.36,54182,Petrol,Individual,Automatic,0
Car_182,2016,7.23,11.57,59994,Petrol,Individual,Automatic,0
Car_183,2005,0.5,4.57,81817,Petrol,Individual,Manual,3
Car_184,2003,0.5,4.64,65715,Diesel,Dealer,Automatic,1
Car_185,2007,0.99,10.72,79087,Petrol,Individual,Manual,1
Car_186,2012,9.3,29.43,7449,Petrol,Individual,Automatic,0
Car_187,2009,1.1,6.91,55893,Diesel,Dealer,Manual,1
Car_188,2017,1.38,2.48,138513,Petrol,Individual,Manual,0
Car_189,2016,12.1,23.37,26434,Petrol,Individual,Manual,0
Car_190,2009,3.02,24.59,154958,Petrol,Dealer,Manual,0
Car_191,2013,2.12,11.7,193458,Petrol,Dealer,Manual,2
Car_192,2011,2.76,15.01,76245,Petrol,Individual,Manual,0
Car_193,2017,9.76,20.19,94956,Petrol,Dealer,Manual,0
Car_194,2017,1.75,3.35,53913,Petrol,Individual,Manual,0
Car_195,2012,6.79,28.58,188372,Diesel,Individual,Manual,0
Car_196,2012,6.04,26.83,97739,Petrol,Individual,Manual,1
Car_197,2014,3.98,9.31,42818,Diesel,Individual,Automatic,1
Car_198,2015,0.89,2.43,70890,Diesel,Individual,Manual,1
Car_199,2005,1.97,28.14,183901,Petrol,Individual,Manual,0
Car_200,2017,10.8,16.03,43588,Diesel,Individual,Manual,0
Car_201,2018,10.44,17.1,103696,Petrol,Individual,Automatic,0
Car_202,2009,2.51,21.15,171383,CNG,Dealer,Manual,0
Car_203,2003,1.13,19.24,55979,Petrol,Individual,Manual,0
Car_204,2006,2.35,28.43,20463,Petrol,Individual,Manual,1
Car_205,2015,13.13,28.44,55623,Petrol,Individual,Automatic,0
Car_206,2018,13.78,26.28,126411,CNG,Individual,Manual,0
Car_207,2006,1.55,19.82,102968,Petrol,Individual,Manual,0
Car_208,2016,14.14,24.43,73977,Diesel,Individual,Manual,0
Car_209,2007,3.15,20.96,14888,Petrol,Individual,Automatic,0
Car_210,2009,2.94,18.05,6069,Diesel,Individual,Manual,3
Car_211,2009,0.79,5.6,70336,Petrol,Individual,Manual,1
Car_212,2015,9.67,24.71,105073,Diesel,Individual,Automatic,3
Car_213,2017,11.99,24.98,168158,Petrol,Individual,Manual,0
Car_214,2013,4.98,19.53,143587,Petrol,Dealer,Manual,0
Car_215,2015,8.97,24.97,45502,Petrol,Individual,Manual,0
Car_216,2006,1.66,20.24,137826,Petrol,Individual,Manual,0
Car_217,2015,3.06,7.79,148716,Diesel,Dealer,Manual,1
Car_218,2018,5.29,9.67,155786,Petrol,Individual,Manual,0
Car_219,2009,1.01,8.01,137662,Diesel,Dealer,Manual,0
Car_220,2013,3.43,12.56,143209,Petrol,Individual,Manual,0
Car_221,2005,0.5,3.09,153987,Petrol,Individual,Automatic,0
Car_222,2008,2.33,19.31,24571,Petrol,Dealer,Manual,1
Car_223,2014,4.06,11.42,58743,Petrol,Individual,Automatic,0
Car_224,2004,1.28,20.36,126327,Diesel,Individual,Manual,0
Car_225,2012,3.61,12.79,108715,Petrol,Individual,Automatic,0
Car_226,2015,6.97,21.09,172812,Petrol,Dealer,Manual,0
Car_227,2016,4.86,11.54,102070,Diesel,Dealer,Manual,1
Car_228,2011,1.79,9.3,165006,Diesel,Individual,Manual,2
